movieId,title,genres,cast,crew
78105,Prince of Persia: The Sands of Time,Adventure,Jake Gyllenhaal,Mike Newell
103228,Pacific Rim,Action,Idris Elba,Guillermo del Toro
87520,Transformers: Dark of the Moon,Action,Shia LaBeouf,Michael Bay
59615,Indiana Jones and the Kingdom of the Crystal Skull,Adventure,Harrison Ford,Steven Spielberg
95167,Brave,Animation,Kelly Macdonald,Brenda Chapman
54648,Rush Hour 3,Action,Chris Tucker,Brett Ratner
113345,Jupiter Ascending,Science Fiction,Mila Kunis,Lilly Wachowski
130219,The Dark Knight,Drama,Christian Bale,Christopher Nolan
68954,Up,Animation,Ed Asner,Pete Docter
59315,Iron Man,Action,Robert Downey Jr.,Jon Favreau
90866,Hugo,Adventure,Ben Kingsley,Martin Scorsese
2701,Wild Wild West,Action,Will Smith,Barry Sonnenfeld
53993,Evan Almighty,Fantasy,Steve Carell,Tom Shadyac
111759,Edge of Tomorrow,Action,Tom Cruise,Doug Liman
208,Waterworld,Adventure,Kevin Costner,Kevin Reynolds
70336,G.I. Joe: The Rise of Cobra,Adventure,Dennis Quaid,Stephen Sommers
77561,Iron Man 2,Adventure,Robert Downey Jr.,Jon Favreau
94780,Snow White and the Huntsman,Adventure,Kristen Stewart,Rupert Sanders
111659,Maleficent,Fantasy,Angelina Jolie,Robert Stromberg
112623,Dawn of the Planet of the Apes,Science Fiction,Andy Serkis,Matt Reeves
106491,47 Ronin,Drama,Keanu Reeves,Carl Rinsch
110102,Captain America: The Winter Soldier,Action,Chris Evans,Anthony Russo
115617,Big Hero 6,Adventure,Scott Adsit,Chris Williams
97913,Wreck-It Ralph,Family,John C. Reilly,Rich Moore
76093,How to Train Your Dragon,Fantasy,Jay Baruchel,Chris Sanders
6537,Terminator 3: Rise of the Machines,Action,Arnold Schwarzenegger,Jonathan Mostow
112852,Guardians of the Galaxy,Action,Chris Pratt,James Gunn
109487,Interstellar,Adventure,Matthew McConaughey,Christopher Nolan
79132,Inception,Action,Leonardo DiCaprio,Christopher Nolan
87232,X-Men: First Class,Action,James McAvoy,Matthew Vaughn
45442,Poseidon,Adventure,Kurt Russell,Wolfgang Petersen
53121,Shrek the Third,Fantasy,Mike Myers,Chris Miller
4310,Pearl Harbor,History,Ben Affleck,Michael Bay
53996,Transformers,Adventure,Shia LaBeouf,Michael Bay
8977,Alexander,War,Colin Farrell,Oliver Stone
54001,Harry Potter and the Order of the Phoenix,Adventure,Daniel Radcliffe,David Yates
40815,Harry Potter and the Goblet of Fire,Adventure,Daniel Radcliffe,Mike Newell
60074,Hancock,Fantasy,Will Smith,Peter Berg
56174,I Am Legend,Drama,Will Smith,Francis Lawrence
30793,Charlie and the Chocolate Factory,Adventure,Johnny Depp,Tim Burton
50872,Ratatouille,Animation,Patton Oswalt,Jan Pinkava
33794,Batman Begins,Action,Christian Bale,Christopher Nolan
62999,Madagascar: Escape 2 Africa,Family,Ben Stiller,Eric Darnell
68793,Night at the Museum: Battle of the Smithsonian,Adventure,Ben Stiller,Shawn Levy
68319,X-Men Origins: Wolverine,Adventure,Hugh Jackman,Gavin Hood
75395,Frozen,Animation,Kristen Bell,Chris Buck
106072,Thor: The Dark World,Action,Chris Hemsworth,Alan Taylor
68554,Angels & Demons,Thriller,Tom Hanks,Ron Howard
86332,Thor,Adventure,Chris Hemsworth,Kenneth Branagh
63859,Bolt,Animation,John Travolta,Chris Williams
70697,G-Force,Fantasy,Sam Rockwell,Hoyt Yeatman
93766,Wrath of the Titans,Adventure,Sam Worthington,Jonathan Liebesman
94478,Dark Shadows,Comedy,Johnny Depp,Tim Burton
55768,Bee Movie,Family,Jerry Seinfeld,Steve Hickner
87222,Kung Fu Panda 2,Animation,Jack Black,Jennifer Yuh Nelson
45186,Mission: Impossible III,Adventure,Tom Cruise,J.J. Abrams
103339,White House Down,Action,Channing Tatum,Roland Emmerich
85261,Mars Needs Moms,Adventure,Seth Green,Simon Wells
48982,Flushed Away,Adventure,Hugh Jackman,David Bowers
127001,Pan,Adventure,Levi Miller,Joe Wright
109846,Mr. Peabody & Sherman,Animation,Ty Burrell,Rob Minkoff
7458,Troy,Adventure,Brad Pitt,Wolfgang Petersen
95105,Madagascar 3: Europe's Most Wanted,Animation,Ben Stiller,Conrad Vernon
5872,Die Another Day,Adventure,Pierce Brosnan,Lee Tamahori
1917,Armageddon,Action,Bruce Willis,Michael Bay
27003,Beowulf,Adventure,Ray Winstone,Robert Zemeckis
91630,Mission: Impossible - Ghost Protocol,Action,Tom Cruise,Brad Bird
98243,Rise of the Guardians,Fantasy,Chris Pine,Peter Ramsey
6519,Fun with Dick and Jane,Comedy,Jim Carrey,Dean Parisot
116887,Exodus: Gods and Kings,Adventure,Christian Bale,Ridley Scott
68358,Star Trek,Science Fiction,Chris Pine,J.J. Abrams
5349,Spider-Man,Fantasy,Tobey Maguire,Sam Raimi
112175,How to Train Your Dragon 2,Fantasy,Jay Baruchel,Dean DeBlois
34334,Stealth,Action,Josh Lucas,Rob Cohen
60684,Watchmen,Action,Malin Åkerman,Zack Snyder
1918,Lethal Weapon 4,Action,Mel Gibson,Richard Donner
6534,Hulk,Drama,Eric Bana,Ang Lee
101076,G.I. Joe: Retaliation,Adventure,Dwayne Johnson,Jon M. Chu
5001,Sahara,Action,Matthew McConaughey,Breck Eisner
4446,Final Fantasy: The Spirits Within,Adventure,Donald Sutherland,Hironobu Sakaguchi
88140,Captain America: The First Avenger,Action,Chris Evans,Joe Johnston
6947,Master and Commander: The Far Side of the World,Adventure,Russell Crowe,Peter Weir
91386,Happy Feet Two,Animation,Elijah Wood,George Miller
103755,Turbo,Animation,Ryan Reynolds,David Soren
84944,Rango,Animation,Johnny Depp,Gore Verbinski
117851,Penguins of Madagascar,Family,Tom McGrath,Eric Darnell
59784,Kung Fu Panda,Adventure,Jack Black,Mark Osborne
69529,Home,Fantasy,Jim Parsons,Tim Johnson
34048,War of the Worlds,Adventure,Tom Cruise,Steven Spielberg
6548,Bad Boys II,Adventure,Martin Lawrence,Michael Bay
90647,Puss in Boots,Action,Antonio Banderas,Chris Miller
79293,Salt,Action,Angelina Jolie,Phillip Noyce
110127,Noah,Drama,Russell Crowe,Darren Aronofsky
8368,Harry Potter and the Prisoner of Azkaban,Adventure,Daniel Radcliffe,Alfonso Cuarón
63853,Australia,Drama,Nicole Kidman,Baz Luhrmann
102880,After Earth,Science Fiction,Jaden Smith,M. Night Shyamalan
3615,Dinosaur,Animation,D. B. Sweeney,Ralph Zondag
119155,Night at the Museum: Secret of the Tomb,Adventure,Ben Stiller,Shawn Levy
81564,Megamind,Animation,Will Ferrell,Tom McGrath
103655,R.I.P.D.,Fantasy,Jeff Bridges,Robert Schwentke
6539,Pirates of the Caribbean: The Curse of the Black Pearl,Adventure,Johnny Depp,Gore Verbinski
116823,The Hunger Games: Mockingjay - Part 1,Science Fiction,Jennifer Lawrence,Francis Lawrence
110655,Rio 2,Animation,Jesse Eisenberg,Carlos Saldanha
91542,Sherlock Holmes: A Game of Shadows,Adventure,Robert Downey Jr.,Guy Ritchie
5540,Clash of the Titans,Adventure,Sam Worthington,Louis Leterrier
2916,Total Recall,Action,Arnold Schwarzenegger,Paul Verhoeven
1562,Batman & Robin,Action,George Clooney,Joel Schumacher
3623,Mission: Impossible II,Adventure,Tom Cruise,John Woo
97938,Life of Pi,Adventure,Suraj Sharma,Ang Lee
51077,Ghost Rider,Thriller,Nicolas Cage,Mark Steven Johnson
6503,Charlie's Angels: Full Throttle,Action,Cameron Diaz,McG
94864,Prometheus,Science Fiction,Noomi Rapace,Ridley Scott
5480,Stuart Little 2,Family,Michael J. Fox,Rob Minkoff
103253,Elysium,Science Fiction,Matt Damon,Neill Blomkamp
2985,RoboCop,Action,Joel Kinnaman,José Padilha
59037,Speed Racer,Action,Emile Hirsch,Lilly Wachowski
82499,How Do You Know,Comedy,Reese Witherspoon,James L. Brooks
79185,Knight and Day,Action,Tom Cruise,James Mangold
101864,Oblivion,Action,Tom Cruise,Joseph Kosinski
33493,Star Wars: Episode III - Revenge of the Sith,Science Fiction,Ewan McGregor,George Lucas
5378,Star Wars: Episode II - Attack of the Clones,Adventure,Ewan McGregor,George Lucas
4886,"Monsters, Inc.",Animation,John Goodman,
2628,Star Wars: Episode I - The Phantom Menace,Adventure,Liam Neeson,George Lucas
5420,Windtalkers,Drama,Nicolas Cage,John Woo
3438,Teenage Mutant Ninja Turtles,Science Fiction,Megan Fox,Jonathan Liebesman
104841,Gravity,Science Fiction,Sandra Bullock,Alfonso Cuarón
1438,Dante's Peak,Action,Pierce Brosnan,Roger Donaldson
34150,Fantastic Four,Action,Miles Teller,Josh Trank
46972,Night at the Museum,Action,Ben Stiller,Shawn Levy
1722,Tomorrow Never Dies,Adventure,Pierce Brosnan,Roger Spottiswoode
8984,Ocean's Twelve,Thriller,George Clooney,Steven Soderbergh
2205,Mr. & Mrs. Smith,Action,Angelina Jolie,Doug Liman
2899,Gulliver's Travels,Comedy,Jack Black,Rob Letterman
109673,300: Rise of an Empire,Action,Sullivan Stapleton,Noam Murro
7374,Home on the Range,Animation,Roseanne Barr,Will Finn
90249,Real Steel,Action,Hugh Jackman,Shawn Levy
1556,Speed 2: Cruise Control,Action,Sandra Bullock,Jan de Bont
106002,Ender's Game,Science Fiction,Asa Butterfield,Gavin Hood
53972,Live Free or Die Hard,Action,Bruce Willis,Len Wiseman
952,Around the World in 80 Days,Action,Jackie Chan,Frank Coraci
5009,Ali,Drama,Will Smith,Michael Mann
8644,"I, Robot",Action,Will Smith,Alex Proyas
33162,Kingdom of Heaven,Drama,Orlando Bloom,Ridley Scott
3157,Stuart Little,Animation,Michael J. Fox,Rob Minkoff
63515,The Island,Action,Ewan McGregor,Michael Bay
4268,Town & Country,Comedy,Warren Beatty,Peter Chelsom
3578,Gladiator,Action,Russell Crowe,Ridley Scott
5445,Minority Report,Action,Tom Cruise,Steven Spielberg
5816,Harry Potter and the Chamber of Secrets,Adventure,Daniel Radcliffe,Chris Columbus
5796,Casino Royale,Adventure,Daniel Craig,Martin Campbell
2529,Planet of the Apes,Thriller,Mark Wahlberg,Tim Burton
589,Terminator 2: Judgment Day,Action,Arnold Schwarzenegger,James Cameron
69640,Public Enemies,History,Christian Bale,Michael Mann
55765,American Gangster,Drama,Denzel Washington,Ridley Scott
380,True Lies,Action,Arnold Schwarzenegger,James Cameron
82852,Little Fockers,Comedy,Robert De Niro,Paul Weitz
786,Eraser,Action,Arnold Schwarzenegger,Chuck Russell
99114,Django Unchained,Drama,Jamie Foxx,Quentin Tarantino
8972,National Treasure,Adventure,Nicolas Cage,Jon Turteltaub
49649,Eragon,Fantasy,Ed Speleers,Stefen Fangmeier
71745,Where the Wild Things Are,Family,Max Records,Spike Jonze
102720,Epic,Animation,Josh Hutcherson,Chris Wedge
3113,End of Days,Action,Arnold Schwarzenegger,Peter Hyams
49530,Blood Diamond,Drama,Leonardo DiCaprio,Edward Zwick
153,Batman Forever,Action,Val Kilmer,Joel Schumacher
1676,Starship Troopers,Adventure,Casper Van Dien,Paul Verhoeven
97752,Cloud Atlas,Drama,Tom Hanks,Tom Tykwer
80615,Legend of the Guardians: The Owls of Ga'Hoole,Animation,Emily Barclay,Zack Snyder
8666,Catwoman,Action,Halle Berry,Pitof
1566,Hercules,Action,Dwayne Johnson,Brett Ratner
5882,Treasure Planet,Adventure,Joseph Gordon-Levitt,Ron Clements
69278,Land of the Lost,Adventure,Will Ferrell,Brad Silberling
4351,Point Break,Action,Edgar Ramírez,Ericson Core
31698,Son of the Mask,Fantasy,Jamie Kennedy,Lawrence Guterman
117466,In the Heart of the Sea,Thriller,Chris Hemsworth,Ron Howard
74795,Green Zone,War,Matt Damon,Paul Greengrass
5956,Gangs of New York,Drama,Leonardo DiCaprio,Martin Scorsese
53460,Surf's Up,Animation,Shia LaBeouf,Ash Brannon
5010,Black Hawk Down,Action,Josh Hartnett,Ridley Scott
78174,Sex and the City 2,Comedy,Sarah Jessica Parker,Michael Patrick King
1022,Cinderella,Romance,Lily James,Kenneth Branagh
6377,Finding Nemo,Animation,Albert Brooks,Andrew Stanton
119655,Seventh Son,Adventure,Jeff Bridges,Sergei Bodrov
4367,Lara Croft: Tomb Raider,Adventure,Angelina Jolie,Simon West
110730,Transcendence,Thriller,Johnny Depp,Wally Pfister
4638,Jurassic Park III,Adventure,Sam Neill,Joe Johnston
88744,Rise of the Planet of the Apes,Thriller,James Franco,Rupert Wyatt
15,Cutthroat Island,Action,Geena Davis,Renny Harlin
74530,Percy Jackson & the Olympians: The Lightning Thief,Adventure,Logan Lerman,Chris Columbus
3114,Toy Story 2,Animation,Tom Hanks,John Lasseter
27735,Unstoppable,Action,Denzel Washington,Tony Scott
4701,Rush Hour 2,Action,Chris Tucker,Brett Ratner
3798,What Lies Beneath,Drama,Harrison Ford,Robert Zemeckis
71264,Cloudy with a Chance of Meatballs,Animation,Bill Hader,Phil Lord
69644,Ice Age: Dawn of the Dinosaurs,Animation,Ray Romano,Carlos Saldanha
3977,Charlie's Angels,Action,Cameron Diaz,McG
1907,Mulan,Animation,Eddie Murphy,Tony Bancroft
61132,Tropic Thunder,Action,Ben Stiller,Ben Stiller
73017,Sherlock Holmes,Action,Robert Downey Jr.,Guy Ritchie
1287,Ben-Hur,Drama,Jack Huston,Timur Bekmambetov
4366,Atlantis: The Lost Empire,Animation,Michael J. Fox,Gary Trousdale
64983,Valkyrie,Drama,Tom Cruise,Bryan Singer
59900,You Don't Mess with the Zohan,Comedy,Adam Sandler,Dennis Dugan
4370,A.I. Artificial Intelligence,Drama,Haley Joel Osment,Steven Spielberg
1584,Contact,Drama,Jodie Foster,Robert Zemeckis
3826,Hollow Man,Action,Kevin Bacon,Paul Verhoeven
104074,Percy Jackson: Sea of Monsters,Adventure,Logan Lerman,Thor Freudenthal
4901,Spy Game,Action,Robert Redford,Tony Scott
3354,Mission to Mars,Science Fiction,Gary Sinise,Brian De Palma
86298,Rio,Animation,Jesse Eisenberg,Carlos Saldanha
3156,Bicentennial Man,Comedy,Robin Williams,Chris Columbus
1515,Volcano,Science Fiction,Tommy Lee Jones,Mick Jackson
5479,K-19: The Widowmaker,Drama,Harrison Ford,Kathryn Bigelow
1587,Conan the Barbarian,Adventure,Arnold Schwarzenegger,John Milius
33660,Cinderella Man,Romance,Russell Crowe,Ron Howard
6565,Seabiscuit,Drama,Jeff Bridges,Gary Ross
736,Twister,Action,Helen Hunt,Jan de Bont
4022,Cast Away,Adventure,Tom Hanks,Robert Zemeckis
49274,Happy Feet,Animation,Elijah Wood,George Miller
1608,Air Force One,Action,Harrison Ford,Wolfgang Petersen
4963,Ocean's Eleven,Thriller,George Clooney,Steven Soderbergh
97225,Hotel Transylvania,Animation,Adam Sandler,Genndy Tartakovsky
56152,Enchanted,Comedy,Amy Adams,Kevin Lima
26996,Safe House,Action,Denzel Washington,Daniel Espinosa
3991,102 Dalmatians,Comedy,Glenn Close,Kevin Lima
90717,Tower Heist,Action,Ben Stiller,Brett Ratner
2353,Enemy of the State,Action,Will Smith,Tony Scott
73015,It's Complicated,Comedy,Meryl Streep,Nancy Meyers
53322,Ocean's Thirteen,Crime,George Clooney,Steven Soderbergh
402,Open Season,Adventure,Martin Lawrence,Jill Culton
108190,Divergent,Adventure,Shailene Woodley,Neil Burger
4223,Enemy at the Gates,War,Jude Law,Jean-Jacques Annaud
485,Last Action Hero,Adventure,Arnold Schwarzenegger,John McTiernan
41571,Memoirs of a Geisha,Drama,Zhang Ziyi,Rob Marshall
91414,Arthur Christmas,Drama,James McAvoy,Barry Cook
2340,Meet Joe Black,Fantasy,Brad Pitt,Martin Brest
5093,Collateral Damage,Action,Arnold Schwarzenegger,Andrew Davis
2971,All That Jazz,Drama,Roy Scheider,Bob Fosse
94015,Mirror Mirror,Adventure,Julia Roberts,Tarsem Singh
79702,Scott Pilgrim vs. the World,Action,Michael Cera,Edgar Wright
3821,Nutty Professor II: The Klumps,Fantasy,Eddie Murphy,Peter Segal
5419,Scooby-Doo,Mystery,Freddie Prinze Jr.,Raja Gosnell
96737,Dredd,Action,Karl Urban,Pete Travis
45672,Click,Comedy,Adam Sandler,Frank Coraci
3016,Creepshow,Horror,Hal Holbrook,George A. Romero
58025,Jumper,Adventure,Hayden Christensen,Doug Liman
57640,Hellboy II: The Golden Army,Adventure,Ron Perlman,Guillermo del Toro
51540,Zodiac,Crime,Jake Gyllenhaal,David Fincher
6373,Bruce Almighty,Fantasy,Jim Carrey,Tom Shadyac
648,Mission: Impossible,Adventure,Tom Cruise,Brian De Palma
1377,Batman Returns,Action,Michael Keaton,Tim Burton
45431,Over the Hedge,Comedy,Bruce Willis,Karey Kirkpatrick
5444,Lilo & Stitch,Animation,Chris Sanders,Chris Sanders
2137,Charlotte's Web,Comedy,Julia Roberts,Gary Winick
1876,Deep Impact,Action,Robert Duvall,Mimi Leder
91671,Alvin and the Chipmunks: Chipwrecked,Comedy,Jason Lee,Mike Mitchell
104218,Grown Ups 2,Comedy,Adam Sandler,Dennis Dugan
60126,Get Smart,Action,Steve Carell,Peter Segal
7149,Something's Gotta Give,Drama,Jack Nicholson,Nancy Meyers
74458,Shutter Island,Drama,Leonardo DiCaprio,Martin Scorsese
64032,Four Christmases,Comedy,Vince Vaughn,Seth Gordon
32031,Robots,Animation,Robin Williams,Chris Wedge
1573,Face/Off,Action,John Travolta,John Woo
65088,Bedtime Stories,Fantasy,Adam Sandler,Adam Shankman
5464,Road to Perdition,Thriller,Tom Hanks,Sam Mendes
85367,Just Go with It,Romance,Adam Sandler,Dennis Dugan
1552,Con Air,Action,Nicolas Cage,Simon West
62081,Eagle Eye,Mystery,Shia LaBeouf,D.J. Caruso
7162,Cold Mountain,Drama,Jude Law,Anthony Minghella
1702,Flubber,Comedy,Robin Williams,Les Mayfield
673,Space Jam,Animation,Michael Jordan,Joe Pytka
1597,Conspiracy Theory,Action,Mel Gibson,Richard Donner
25825,Fury,War,Brad Pitt,David Ayer
1894,Six Days Seven Nights,Action,Harrison Ford,Ivan Reitman
83177,Yogi Bear,Comedy,Dan Aykroyd,Eric Brevig
5389,Spirit: Stallion of the Cimarron,Western,Matt Damon,Kelly Asbury
87867,Zookeeper,Comedy,Kevin James,Frank Coraci
1831,Lost in Space,Adventure,Gary Oldman,Stephen Hopkins
3159,Fantasia 2000,Animation,Steve Martin,James Algar
2429,Mighty Joe Young,Action,Charlize Theron,Ron Underwood
4344,Swordfish,Action,John Travolta,Dominic Sena
2297,What Dreams May Come,Drama,Robin Williams,Vincent Ward
3979,Little Nicky,Comedy,Adam Sandler,Steven Brill
1391,Mars Attacks!,Comedy,Jack Nicholson,Tim Burton
71530,Surrogates,Action,Bruce Willis,Jonathan Mostow
4033,Thirteen Days,Drama,Kevin Costner,Roger Donaldson
798,Daylight,Action,Sylvester Stallone,Rob Cohen
3593,Battlefield Earth,Action,John Travolta,Roger Christian
6946,Looney Tunes: Back in Action,Animation,Brendan Fraser,Joe Dante
73000,Nine,Drama,Judi Dench,Rob Marshall
6959,Timeline,Action,Paul Walker,Richard Donner
2384,Babe: Pig in the City,Adventure,James Cromwell,George Miller
3981,Red Planet,Thriller,Val Kilmer,Antony Hoffman
110968,Pompeii,Action,Kit Harington,Paul W.S. Anderson
92681,Journey 2: The Mysterious Island,Adventure,Dwayne Johnson,Brad Peyton
105468,Cloudy with a Chance of Meatballs 2,Animation,Bill Hader,Cody Cameron
5630,Red Dragon,Crime,Anthony Hopkins,Brett Ratner
7324,Hidalgo,Western,Viggo Mortensen,Joe Johnston
90890,Jack and Jill,Comedy,Adam Sandler,Dennis Dugan
103335,Despicable Me 2,Animation,Steve Carell,Pierre Coffin
33615,Madagascar,Family,Ben Stiller,Eric Darnell
48774,Children of Men,Drama,Clive Owen,Alfonso Cuarón
3793,X-Men,Adventure,Patrick Stewart,Bryan Singer
60072,Wanted,Action,Angelina Jolie,Timur Bekmambetov
7293,50 First Dates,Comedy,Adam Sandler,Peter Segal
2926,Hairspray,Family,John Travolta,Adam Shankman
8815,Exorcist: The Beginning,Horror,Stellan Skarsgård,Renny Harlin
2720,Inspector Gadget,Action,Matthew Broderick,David Kellogg
102903,Now You See Me,Thriller,Jesse Eisenberg,Louis Leterrier
79134,Grown Ups,Comedy,Adam Sandler,Dennis Dugan
66304,Hotel for Dogs,Comedy,Emma Roberts,Thor Freudenthal
3999,Vertical Limit,Action,Chris O'Donnell,Martin Campbell
56788,Charlie Wilson's War,Comedy,Tom Hanks,Mike Nichols
8907,Shark Tale,Animation,Will Smith,Vicky Jenson
49824,Dreamgirls,Drama,Jamie Foxx,Bill Condon
32019,Be Cool,Comedy,John Travolta,F. Gary Gray
41997,Munich,Drama,Eric Bana,Steven Spielberg
6213,Tears of the Sun,Action,Bruce Willis,Antoine Fuqua
78041,Killers,Action,Katherine Heigl,Robert Luketic
27808,Spanglish,Comedy,Adam Sandler,James L. Brooks
46948,Monster House,Animation,Ryan Newman,Gil Kenan
2562,Bandits,Action,Bruce Willis,Barry Levinson
168,First Knight,Action,Sean Connery,Jerry Zucker
3155,Anna and the King,Drama,Jodie Foster,Andy Tennant
90888,Immortals,Fantasy,Mickey Rourke,Tarsem Singh
32029,Hostage,Mystery,Bruce Willis,Florent-Emilio Siri
3745,Titan A.E.,Animation,Matt Damon,Gary Goldman
6484,Hollywood Homicide,Action,Harrison Ford,Ron Shelton
2322,Soldier,Action,Kurt Russell,Paul W.S. Anderson
73168,Carriers,Action,Lou Taylor Pucci,Àlex Pastor
4158,Monkeybone,Adventure,Brendan Fraser,Henry Selick
27837,Flight of the Phoenix,Action,Dennis Quaid,John Moore
3994,Unbreakable,Science Fiction,Bruce Willis,M. Night Shyamalan
85510,Sucker Punch,Action,Emily Browning,Zack Snyder
2126,Snake Eyes,Crime,Nicolas Cage,Brian De Palma
1779,Sphere,Science Fiction,Dustin Hoffman,Barry Levinson
57951,Fool's Gold,Romance,Matthew McConaughey,Andy Tennant
66509,Funny People,Comedy,Adam Sandler,Judd Apatow
46970,Talladega Nights: The Ballad of Ricky Bobby,Comedy,Will Ferrell,Adam McKay
4368,Dr. Dolittle 2,Comedy,Eddie Murphy,Steve Carr
110,Braveheart,Action,Mel Gibson,Mel Gibson
40278,Jarhead,Drama,Jamie Foxx,Sam Mendes
4265,Driven,Action,Kip Pardue,Renny Harlin
2135,Doctor Dolittle,Comedy,Eddie Murphy,Betty Thomas
5502,Signs,Drama,Mel Gibson,M. Night Shyamalan
8360,Shrek 2,Adventure,Mike Myers,Andrew Adamson
45517,Cars,Animation,Owen Wilson,John Lasseter
2724,Runaway Bride,Comedy,Julia Roberts,Garry Marshall
5507,xXx,Action,Vin Diesel,Rob Cohen
832,Ransom,Action,Mel Gibson,Ron Howard
68157,Inglourious Basterds,Drama,Brad Pitt,Quentin Tarantino
3489,Hook,Adventure,Robin Williams,Steven Spielberg
1370,Die Hard 2,Action,Bruce Willis,Renny Harlin
6595,S.W.A.T.,Action,Samuel L. Jackson,Clark Johnson
4975,Vanilla Sky,Drama,Tom Cruise,Cameron Crowe
45730,Lady in the Water,Drama,Paul Giamatti,M. Night Shyamalan
73042,Alvin and the Chipmunks: The Squeakquel,Comedy,Zachary Levi,Betty Thomas
5152,We Were Soldiers,Action,Mel Gibson,Randall Wallace
101362,Olympus Has Fallen,Action,Gerard Butler,Antoine Fuqua
2393,Star Trek: Insurrection,Science Fiction,Patrick Stewart,Jonathan Frakes
7147,Big Fish,Adventure,Ewan McGregor,Tim Burton
382,Wolf,Fantasy,Jack Nicholson,Mike Nichols
91126,War Horse,Drama,Tom Hiddleston,Steven Spielberg
80590,Wall Street: Money Never Sleeps,Drama,Michael Douglas,Oliver Stone
114795,Dracula Untold,Horror,Luke Evans,Gary Shore
54259,Stardust,Adventure,Claire Danes,Matthew Vaughn
1619,Seven Years in Tibet,Adventure,Brad Pitt,Jean-Jacques Annaud
384,Bad Company,Action,Anthony Hopkins,Joel Schumacher
37380,Doom,Adventure,Dwayne Johnson,Andrzej Bartkowiak
5803,I Spy,Action,Eddie Murphy,Betty Thomas
91974,Underworld: Awakening,Fantasy,Kate Beckinsale,Måns Mårlind
95307,Rock of Ages,Comedy,,
5107,Hart's War,Drama,Bruce Willis,Gregory Hoblit
89840,Killer Elite,Action,Jason Statham,Gary McKendry
5094,Rollerball,Action,Chris Klein,John McTiernan
5609,Ballistic: Ecks vs. Sever,Action,Antonio Banderas,Wych Kaosayananda
1752,Hard Rain,Thriller,Morgan Freeman,Mikael Salomon
4719,Osmosis Jones,Adventure,Chris Rock,Bobby Farrelly
111439,Legends of Oz: Dorothy's Return,Animation,Lea Michele,Dan St. Pierre
120637,Blackhat,Crime,Chris Hemsworth,Michael Mann
8865,Sky Captain and the World of Tomorrow,Mystery,Jude Law,Kerry Conran
44759,Basic Instinct 2,Crime,Sharon Stone,Michael Caton-Jones
105653,Escape Plan,Action,Sylvester Stallone,Mikael Håfström
79091,Despicable Me,Animation,Steve Carell,Pierre Coffin
20,Money Train,Action,Wesley Snipes,Joseph Ruben
74624,Agora,Adventure,Rachel Weisz,Alejandro Amenábar
2723,Mystery Men,Adventure,Ben Stiller,Kinka Usher
85022,Hall Pass,Comedy,Owen Wilson,Bobby Farrelly
62374,Body of Lies,Action,Leonardo DiCaprio,Ridley Scott
79428,Dinner for Schmucks,Comedy,Steve Carell,Jay Roach
